央视移动,#genre#

CCTV-1综合,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225829/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225922/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226908/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226995/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227014/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226624/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225812/1.m3u8

CCTV-2财经,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225923/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226795/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226915/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225800/1.m3u8

CCTV-3综艺,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227055/1.m3u8

CCTV-4国际,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226968/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225802/1.m3u8

CCTV-5体育,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227170/1.m3u8

CCTV-5+体育赛事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225939/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226919/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225821/1.m3u8

CCTV-6电影,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227137/1.m3u8

CCTV-7国防军事,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225805/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225927/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226972/1.m3u8

CCTV-8电视剧,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227174/1.m3u8

CCTV-9纪录,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225929/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226923/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225820/1.m3u8

CCTV-10科教,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225814/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225931/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226976/1.m3u8

CCTV-11戏曲,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225815/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226927/1.m3u8

CCTV-12社会,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225932/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226931/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225816/1.m3u8

CCTV-13新闻,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225817/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226985/1.m3u8

CCTV-14少儿,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225819/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225933/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227086/1.m3u8

CCTV-15音乐,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225818/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226989/1.m3u8

CCTV-16奥运,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227148/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227125/1.m3u8

CCTV-17农业,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226986/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226990/1.m3u8

CCTV-4K超高清,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226998/1.m3u8

中国教育1台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227067/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225869/1.m3u8

中国教育2台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227206/1.m3u8

中国教育4台,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227050/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227192/1.m3u8

卫视移动,#genre#

湖南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225827/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227232/1.m3u8

浙江卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225825/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225870/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227193/1.m3u8

北京卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225826/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227246/1.m3u8

东方卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225828/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226560/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226603/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226895/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227040/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227059/1.m3u8

江苏卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225847/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227160/1.m3u8

东南卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227156/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225833/1.m3u8

广东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225824/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227164/1.m3u8

辽宁卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225832/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227141/1.m3u8

山东卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225843/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227236/1.m3u8

湖北卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225840/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227111/1.m3u8

安徽卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225844/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227178/1.m3u8

天津卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225830/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227205/1.m3u8

重庆卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225831/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227240/1.m3u8

江西卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225834/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227209/1.m3u8

深圳卫视,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221225848/1.m3u8#http://ott.fj.chinamobile.com/PLTV/88888888/224/3221227242/1.m3u8

